Array Size,num. of threads,Run1_seq,Run2_seq,Run3_seq,Avg_time_seq,Run1_par,Run2_par,Run3_par,Avg_Time_par,SpeedUp,,,,,,,,,,
32,2,1.00136E-05,1.00136E-05,1.00136E-05,1.00136E-05,0.00047183,0.000319004,0.000377893,0.000389576,0.025703864,,,,,,,,,,
32,4,1.00136E-05,1.12057E-05,1.00136E-05,1.0411E-05,0.000437975,0.000606,0.00039506,0.000479678,0.021704059,,,,,,,,,,
32,8,1.21593E-05,8.82149E-06,1.09673E-05,1.06494E-05,0.00100017,0.000764132,0.000741005,0.000835102,0.012752166,,,,,,,,,,
512,2,0.000221968,0.000329018,0.000244856,0.000265281,0.000386,0.000821829,0.000373125,0.000526985,0.503393521,,,,,,,,,,
512,4,0.000286102,0.000221014,0.000355959,0.000287692,0.000577211,0.000672102,0.000509024,0.000586112,0.490847318,,,,,,,,,,
512,8,0.000256062,0.000374079,0.000224113,0.000284751,0.000948191,0.00107718,0.000985146,0.001003506,0.283756577,,,,,,,,,,
1024,2,0.00809002,0.000499964,0.000496864,0.003028949,0.00688219,0.000649929,0.000661135,0.002731085,1.109064604,,,,,,,,,,
1024,4,0.000597954,0.000732899,0.000499964,0.000610272,0.00068593,0.00101018,0.000653028,0.000783046,0.779356939,,,,,,,,,,
1024,8,0.000653028,0.000531912,0.000675917,0.000620286,0.00126386,0.00124907,0.00157094,0.00136129,0.455660195,,,,,,,,,,
4096,2,0.00336003,0.00325489,0.00381112,0.003475347,0.00169182,0.00184703,0.00225401,0.001930953,1.79980873,,,,,,,,,,
4096,4,0.00369191,0.00251102,0.00323606,0.00314633,0.00272393,0.00149512,0.00178909,0.002002713,1.571033631,,,,,,,,,,
4096,8,0.003304,0.00301909,0.00301909,0.00311406,0.00192404,0.00221395,0.00200081,0.002046267,1.521825112,,,,,,,,,,
8192,2,0.00661802,0.00638986,0.00490999,0.005972623,0.00422788,0.0060482,0.00365806,0.004644713,1.285897084,,,,,,,,,,
8192,4,0.00660205,0.00670505,0.00654697,0.006618023,0.00361395,0.00327301,0.00360298,0.003496647,1.892677175,,,,,,,,,,
8192,8,0.00551295,0.00656104,0.00684595,0.006306647,0.0030849,0.00463915,0.00459599,0.00410668,1.53570443,,,,,,,,,,
16384,2,0.0111809,0.011385,0.014648,0.012404633,0.00926208,0.00748992,0.010325,0.009025667,1.374373084,,,,,,,,,,
16384,4,0.015137,0.0145581,0.014739,0.014811367,0.012394,0.00985503,0.01245,0.011566343,1.28055741,,,,,,,,,,
16384,8,0.0146501,0.0177631,0.015615,0.0160094,0.020781,0.009408,0.017118,0.015769,1.015245101,,,,,,,,,,
32768,2,0.035805,0.029058,0.0305521,0.031805033,0.013958,0.016475,0.012085,0.014172667,2.24411073,,,,,,,,,,
32768,4,0.0315821,0.0295792,0.0364289,0.032530067,0.0134051,0.0140152,0.017076,0.0148321,2.19322056,,,,,,,,,,
32768,8,0.033092,0.035078,0.0253658,0.0311786,0.014102,0.0199871,0.014307,0.016132033,1.932713586,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
